epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4649,0.85632,2.96353,1.20181,0.89982,0.80746,0.90861,0.71029,0.60835,1.48653,0.88806,0.00018577,0.00018577,0.00018577
2,51.7102,0.59361,0.812,0.89084,0.96209,0.99123,0.99334,0.8173,0.51964,0.71402,0.81143,0.000384557,0.000384557,0.000384557
3,57.1599,0.6045,0.6394,0.89777,0.96546,0.91891,0.9818,0.77028,0.61914,0.86387,0.84123,0.000582023,0.000582023,0.000582023
4,62.3772,0.58648,0.52193,0.87708,0.91406,0.8411,0.97739,0.77865,0.6165,0.64543,0.85236,0.000778169,0.000778169,0.000778169
5,67.6755,0.57763,0.49898,0.87422,0.97796,0.98792,0.99444,0.81341,0.55203,0.43141,0.82396,0.000972995,0.000972995,0.000972995
6,72.8734,0.589,0.47007,0.88454,0.81397,0.88584,0.97799,0.78132,0.61897,0.65897,0.84857,0.0011665,0.0011665,0.0011665
7,77.6355,0.62275,0.48101,0.88727,0.77159,0.88638,0.98967,0.78358,0.63855,1.27513,0.85837,0.00135868,0.00135868,0.00135868
8,82.5881,0.57972,0.44175,0.87867,0.7148,0.98162,0.995,0.81808,0.56988,0.98565,0.82954,0.00139599,0.00139599,0.00139599
9,87.33,0.57078,0.42839,0.88531,0.71716,0.98516,0.97855,0.7552,0.6036,1.45578,0.86584,0.00139127,0.00139127,0.00139127
10,92.1922,0.54487,0.39926,0.86423,0.93744,0.98689,0.99491,0.80783,0.60599,0.46055,0.83531,0.00138656,0.00138656,0.00138656
11,96.9068,0.57749,0.411,0.8792,0.94693,0.98649,0.99354,0.81497,0.55016,0.4158,0.82068,0.00138184,0.00138184,0.00138184
12,101.686,0.56255,0.41212,0.8889,0.96496,0.99364,0.99487,0.83893,0.50994,0.35851,0.80909,0.00137713,0.00137713,0.00137713
13,106.402,0.52953,0.38724,0.86901,0.9515,0.98404,0.99413,0.83788,0.48669,0.43202,0.80164,0.00137241,0.00137241,0.00137241
14,111.324,0.51169,0.36736,0.86599,0.89939,0.99097,0.99309,0.83507,0.46883,0.45335,0.79112,0.0013677,0.0013677,0.0013677
15,116.135,0.52335,0.38093,0.86068,0.95378,0.99774,0.98895,0.8373,0.49849,0.42505,0.79571,0.00136298,0.00136298,0.00136298
16,121.06,0.51037,0.36268,0.86747,0.93645,0.99561,0.99496,0.84474,0.45726,0.45106,0.79314,0.00135826,0.00135826,0.00135826
17,126.233,0.48892,0.35193,0.85364,0.94599,0.97596,0.99461,0.85966,0.45142,0.37585,0.78855,0.00135355,0.00135355,0.00135355
18,131.051,0.48755,0.3477,0.85259,0.98055,0.99648,0.99491,0.86964,0.42274,0.30643,0.78786,0.00134883,0.00134883,0.00134883
19,135.83,0.47051,0.33754,0.86314,0.99317,0.999,0.995,0.85278,0.45273,0.29662,0.79699,0.00134412,0.00134412,0.00134412
20,140.565,0.49835,0.35507,0.88002,0.99237,0.99906,0.995,0.86484,0.44308,0.29377,0.79129,0.0013394,0.0013394,0.0013394
21,145.27,0.47291,0.33284,0.85617,0.99303,0.9989,0.995,0.86943,0.43579,0.29216,0.79132,0.00133469,0.00133469,0.00133469
22,150.103,0.45765,0.32362,0.85011,0.99339,0.99018,0.99475,0.85324,0.42348,0.2669,0.79229,0.00132997,0.00132997,0.00132997
23,154.814,0.46988,0.32038,0.85333,0.98707,0.99488,0.99479,0.8557,0.44083,0.28609,0.79005,0.00132525,0.00132525,0.00132525
24,159.653,0.47978,0.33604,0.85631,0.95005,0.99123,0.99319,0.87251,0.41304,0.31163,0.7899,0.00132054,0.00132054,0.00132054
25,164.47,0.47088,0.32609,0.85143,0.99063,1,0.99487,0.87396,0.41961,0.28392,0.78291,0.00131582,0.00131582,0.00131582
26,169.306,0.46578,0.33494,0.85749,0.989,0.99809,0.9947,0.87553,0.41797,0.28541,0.7829,0.00131111,0.00131111,0.00131111
27,174.037,0.45823,0.32663,0.85244,0.99181,1,0.99474,0.87944,0.41083,0.26666,0.7867,0.00130639,0.00130639,0.00130639
